AI responses may be less accurate in languages other than English.,As respostas de IA podem ser menos precisas em idiomas diferentes do inglês.
Dismiss,Fechar
New Chat,Nova conversa
Settings,Definições
Close,Fechar
Copy,Copiar
Delete,Eliminar
Chat,Conversa
Save,Guardar
General,Geral
Cancel,Cancelar
Enabled,Ativado
Limits,Limites
Privacy,Privacidade
Knowledge,Conhecimento
Connected,Conectado
Disabled,Desativado
Agents,Agentes
Provider,Fornecedor
Model,Modelo
Tools,Ferramentas
Generate,Gerar
Result,Resultado
Content,Conteúdo
— Select —,— Selecionar —
Terms of Use,Termos de Utilização
"Before using Jana, please review and accept the following terms:","Antes de utilizar o Jana, reveja e aceite os seguintes termos:"
"Jana is an AI assistant. AI-generated responses may be inaccurate, incomplete, or outdated. You are responsible for verifying all information before acting on it.","O Jana é um assistente de IA. As respostas geradas por IA podem ser imprecisas, incompletas ou desatualizadas. É responsável por verificar todas as informações antes de agir."
"If you bring your own API keys (BYOK), you are responsible for all costs and usage with your LLM provider. Jana does not manage, limit, or monitor your provider billing.","Se utilizar as suas próprias chaves API (BYOK), é responsável por todos os custos e utilização junto do seu fornecedor de LLM. O Jana não gere, limita nem monitoriza a faturação do seu fornecedor."
"Jana does not guarantee the accuracy, reliability, or suitability of AI responses for any particular purpose.","O Jana não garante a exatidão, fiabilidade ou adequação das respostas de IA para qualquer finalidade específica."
Your conversations are stored on this Frappe site. Data sent to cloud LLM providers is subject to their data handling policies.,As suas conversas são armazenadas neste site Frappe. Os dados enviados a fornecedores de LLM na nuvem estão sujeitos às respetivas políticas de tratamento de dados.
Jana Community Edition is licensed under AGPL-3.0. See the full license for terms and conditions.,O Jana Community Edition está licenciado sob AGPL-3.0. Consulte a licença completa para os termos e condições.
I have read and agree to the Terms of Use,Li e aceito os Termos de Utilização
View Full Terms of Use,Ver os Termos de Utilização completos
Accept and Continue,Aceitar e continuar
You must accept the Terms of Use to continue.,Deve aceitar os Termos de Utilização para continuar.
Jana responds in your language. Complex technical content may vary in quality across languages.,O Jana responde no seu idioma. O conteúdo técnico complexo pode variar em qualidade entre idiomas.
Could not save acceptance. Please try again.,Não foi possível guardar a aceitação. Tente novamente.
