AI responses may be less accurate in languages other than English.,Одговори вештачке интелигенције могу бити мање прецизни на језицима осим енглеског.
Dismiss,Затвори
Settings,Подешавања
Close,Затвори
Chat,Ћаскање
Save,Сачувај
— Select —,— Изабери —
Terms of Use,Услови коришћења
"Before using Jana, please review and accept the following terms:","Пре коришћења Jana, молимо прочитајте и прихватите следеће услове:"
"Jana is an AI assistant. AI-generated responses may be inaccurate, incomplete, or outdated. You are responsible for verifying all information before acting on it.","Jana је ВИ асистент. Одговори генерисани вештачком интелигенцијом могу бити нетачни, непотпуни или застарели. Ви сте одговорни за проверу свих информација пре него што поступите."
"If you bring your own API keys (BYOK), you are responsible for all costs and usage with your LLM provider. Jana does not manage, limit, or monitor your provider billing.","Ако користите сопствене API кључеве (BYOK), ви сте одговорни за све трошкове и коришћење код вашег LLM провајдера. Jana не управља, не ограничава нити надгледа фактурисање вашег провајдера."
"Jana does not guarantee the accuracy, reliability, or suitability of AI responses for any particular purpose.","Jana не гарантује тачност, поузданост или прикладност одговора ВИ за било коју конкретну сврху."
Your conversations are stored on this Frappe site. Data sent to cloud LLM providers is subject to their data handling policies.,Ваши разговори се чувају на овом Frappe сајту. Подаци послати облак LLM провајдерима подлежу њиховим политикама обраде података.
Jana Community Edition is licensed under AGPL-3.0. See the full license for terms and conditions.,Jana Community Edition је лиценциран под AGPL-3.0. Погледајте потпуну лиценцу за услове.
I have read and agree to the Terms of Use,Прочитао/ла сам и прихватам Услове коришћења
View Full Terms of Use,Прикажи потпуне Услове коришћења
Accept and Continue,Прихвати и настави
You must accept the Terms of Use to continue.,Морате прихватити Услове коришћења да бисте наставили.
Jana responds in your language. Complex technical content may vary in quality across languages.,Jana одговара на вашем језику. Комплексан технички садржај може варирати у квалитету у зависности од језика.
Could not save acceptance. Please try again.,Прихватање није могло бити сачувано. Молимо покушајте поново.
