AI responses may be less accurate in languages other than English.,ఇంగ్లీష్ కాకుండా ఇతర భాషల్లో AI ప్రతిస్పందనలు తక్కువ ఖచ్చితంగా ఉండవచ్చు.
Dismiss,మూసివేయి
Settings,సెట్టింగ్‌లు
Close,మూసివేయి
Chat,చాట్
Save,సేవ్
— Select —,— ఎంచుకోండి —
Terms of Use,
"Before using Jana, please review and accept the following terms:",
"Jana is an AI assistant. AI-generated responses may be inaccurate, incomplete, or outdated. You are responsible for verifying all information before acting on it.",
"If you bring your own API keys (BYOK), you are responsible for all costs and usage with your LLM provider. Jana does not manage, limit, or monitor your provider billing.",
"Jana does not guarantee the accuracy, reliability, or suitability of AI responses for any particular purpose.",
Your conversations are stored on this Frappe site. Data sent to cloud LLM providers is subject to their data handling policies.,
Jana Community Edition is licensed under AGPL-3.0. See the full license for terms and conditions.,
I have read and agree to the Terms of Use,
View Full Terms of Use,
Accept and Continue,
You must accept the Terms of Use to continue.,
Jana responds in your language. Complex technical content may vary in quality across languages.,
Could not save acceptance. Please try again.,
