AI responses may be less accurate in languages other than English.,Las respuestas de IA pueden ser menos precisas en idiomas distintos al inglés.
Dismiss,Cerrar
Open Jana AI Assistant,Abrir asistente Jana IA
Chats,Chats
Select Agent,Seleccionar agente
Chat History,Historial de chats
New Chat,Nuevo chat
Settings,Configuración
Close,Cerrar
No conversations yet,Sin conversaciones aún
Welcome to Jana!,¡Bienvenido a Jana!
or,o
Copy,Copiar
Ask Jana...,Pregunta a Jana...
Stop generating,Detener generación
just now,ahora mismo
Untitled Chat,Chat sin título
Rename,Renombrar
Archive,Archivar
Delete,Eliminar
Chat,Chat
Save,Guardar
General,General
AI Provider,Proveedor de IA
Default Provider,Proveedor predeterminado
Default Model,Modelo predeterminado
Enable Streaming,Habilitar streaming
Providers,Proveedores
Add Provider,Agregar proveedor
Cancel,Cancelar
Provider Name,Nombre del proveedor
Authentication,Autenticación
API Key,Clave API
Enabled,Habilitado
Capabilities,Capacidades
Read Documents,Leer documentos
Create Documents,Crear documentos
Modify Documents,Modificar documentos
Limits,Límites
Privacy,Privacidad
Knowledge,Conocimiento
My Keys,Mis claves
Connected,Conectado
Not connected,No conectado
Settings saved,Configuración guardada
Connection successful,Conexión exitosa
Default,Predeterminado
Disabled,Deshabilitado
Models,Modelos
Agents,Agentes
New Agent,Nuevo agente
Agent Name,Nombre del agente
Description,Descripción
Provider,Proveedor
Model,Modelo
Temperature,Temperatura
Tools,Herramientas
Remove,Eliminar
Agent saved,Agente guardado
Content Generation,Generación de contenido
Draft Email,Redactar correo
Document Name,Nombre del documento
Generate,Generar
Result,Resultado
Copied,Copiado
Subject,Asunto
Content,Contenido
An error occurred,Ocurrió un error
Permission denied,Permiso denegado
— Select —,— Seleccionar —
Terms of Use,
"Before using Jana, please review and accept the following terms:",
"Jana is an AI assistant. AI-generated responses may be inaccurate, incomplete, or outdated. You are responsible for verifying all information before acting on it.",
"If you bring your own API keys (BYOK), you are responsible for all costs and usage with your LLM provider. Jana does not manage, limit, or monitor your provider billing.",
"Jana does not guarantee the accuracy, reliability, or suitability of AI responses for any particular purpose.",
Your conversations are stored on this Frappe site. Data sent to cloud LLM providers is subject to their data handling policies.,
Jana Community Edition is licensed under AGPL-3.0. See the full license for terms and conditions.,
I have read and agree to the Terms of Use,
View Full Terms of Use,
Accept and Continue,
You must accept the Terms of Use to continue.,
Jana responds in your language. Complex technical content may vary in quality across languages.,
Could not save acceptance. Please try again.,
