AI responses may be less accurate in languages other than English.,AI-vástádusat sáhttet leat unnit dárkilat eará gielain go eaŋgalasgielat.
Dismiss,Gidde
Settings,Heivehusat
Close,Gidde
Chat,Ságastallan
Save,Vurke
— Select —,— Vállje —
Terms of Use,Geavahaneavttut
"Before using Jana, please review and accept the following terms:","Ovdal go geavahit Jana, loga ja dohkket čuovvovaš eavttuid:"
"Jana is an AI assistant. AI-generated responses may be inaccurate, incomplete, or outdated. You are responsible for verifying all information before acting on it.","Jana lea AI-veahkki. AI-ráhkaduvvon vástádusat sáhttet leat eahpedárkilat, váilevaččat dahje boarásmuvvan. Du ovddasvástádus lea dárkkistit buot dieđuid ovdal go doaimmát."
"If you bring your own API keys (BYOK), you are responsible for all costs and usage with your LLM provider. Jana does not manage, limit, or monitor your provider billing.","Jus geavahit iežat API-čoavdagat (BYOK), de leat ovddasvástideaddji buot goluid ja geavaheami ovddas du LLM-fálaldahkii. Jana ii hálddaš, ráddje dahje čuovo du fálaldaga rehkenastima."
"Jana does not guarantee the accuracy, reliability, or suitability of AI responses for any particular purpose.","Jana ii dáhkko AI-vástádusaid dárkilašvuođa, luohtehahttivuođa dahje heivvolašvuođa oktage erenoamáš ulbmilii."
Your conversations are stored on this Frappe site. Data sent to cloud LLM providers is subject to their data handling policies.,Du ságastallamat vurkkoduvvojit dán Frappe-siidui. Dieđut mat sáddejuvvojit bálkko-LLM-fálaldagaide čuvvot sin diehtomeannudeami njuolggadusaid.
Jana Community Edition is licensed under AGPL-3.0. See the full license for terms and conditions.,Jana Community Edition lea liseanssejuvvon AGPL-3.0 vuolde. Geahča olles liseansa eavttuide.
I have read and agree to the Terms of Use,Lean lohkan ja dohkkehan Geavahaneavttuid
View Full Terms of Use,Geahča olles Geavahaneavttuid
Accept and Continue,Dohkket ja joatkit
You must accept the Terms of Use to continue.,Ferte dohkkehit Geavahaneavttuid joatkimis.
Jana responds in your language. Complex technical content may vary in quality across languages.,Jana vástida du gillii. Váttes teknihkalaš sisdoallu sáhttá earuha kvaliteahtas gielaid gaskkas.
Could not save acceptance. Please try again.,Ii lihkostuvvan vurket dohkkehusa. Geahččal ođđasit.
