AI responses may be less accurate in languages other than English.,قد تكون استجابات الذكاء الاصطناعي أقل دقة باللغات غير الإنجليزية.
Jana is an AI assistant. Responses are generated, not authoritative. Document changes require your confirmation before saving.,جنى هي مساعدة ذكاء اصطناعي. الردود مُولّدة وليست رسمية. تتطلب تغييرات المستندات تأكيدك قبل الحفظ.
Dismiss,إخفاء
Open Jana AI Assistant,افتح مساعدة جنى الذكية
Chats,المحادثات
Select Agent,اختر الوكيل
Chat History,سجل المحادثات
New Chat,محادثة جديدة
Settings,الإعدادات
Close,إغلاق
No conversations yet,لا توجد محادثات بعد
Start a new chat to begin.,ابدأ محادثة جديدة للبدء.
New conversation,محادثة جديدة
Welcome to Jana!,مرحبًا بك في جنى!
Connect your account to get started:,اربط حسابك للبدء:
Connect with {0},الاتصال بـ {0}
or,أو
To get started&#44; add your AI provider key.,للبدء، أضف مفتاح مزوّد الذكاء الاصطناعي.
Open Jana Settings,افتح إعدادات جنى
Copy,نسخ
Ask Jana...,اسأل جنى...
Stop generating,إيقاف التوليد
Copied to clipboard,تم النسخ إلى الحافظة
just now,الآن
Sorry&#44; something went wrong. Please try again.,عذرًا، حدث خطأ. يرجى المحاولة مرة أخرى.
Start a conversation,ابدأ محادثة
Type a message below to begin.,اكتب رسالة أدناه للبدء.
Type a message...,اكتب رسالة...
Press Enter to send&#44; Shift+Enter for new line,اضغط Enter للإرسال، Shift+Enter لسطر جديد
Untitled Chat,محادثة بدون عنوان
Rename,إعادة تسمية
Archive,أرشفة
Delete,حذف
Delete this conversation? This cannot be undone.,حذف هذه المحادثة؟ لا يمكن التراجع عن هذا.
Chat,المحادثة
Save,حفظ
General,عام
AI Provider,مزوّد الذكاء الاصطناعي
Default Provider,المزوّد الافتراضي
Default Model,النموذج الافتراضي
Max Context Tokens,الحد الأقصى لرموز السياق
Maximum tokens for the LLM context window (512–128000),الحد الأقصى لرموز نافذة سياق النموذج (512-128000)
Behavior,السلوك
Enable Streaming,تمكين البث المباشر
Stream AI responses token-by-token for a real-time feel,بث استجابات الذكاء الاصطناعي رمزًا بعد رمز لتجربة فورية
Enable Tool Calling,تمكين استدعاء الأدوات
Allow agents to call Frappe API tools during conversations,السماح للوكلاء باستدعاء أدوات Frappe API أثناء المحادثات
Providers,المزوّدون
Configured Providers,المزوّدون المُعدّون
Click a provider to expand and edit all settings.,انقر على مزوّد لتوسيعه وتعديل جميع الإعدادات.
Add Provider,إضافة مزوّد
Cancel,إلغاء
New Provider,مزوّد جديد
Provider Name,اسم المزوّد
Provider Type,نوع المزوّد
Authentication,المصادقة
API Key,مفتاح API
OAuth,OAuth
Paste your API key,الصق مفتاح API الخاص بك
API Base URL,عنوان URL الأساسي لـ API
PII Masking,إخفاء البيانات الشخصية
Global Default,الافتراضي العام
Always On,مُفعّل دائمًا
Always Off,مُعطّل دائمًا
Enabled,مُفعّل
Is Default,الافتراضي
Create Provider,إنشاء مزوّد
No providers configured.,لم يتم إعداد أي مزوّدين.
Capabilities,القدرات
AI Capabilities,قدرات الذكاء الاصطناعي
Control what Jana is allowed to do in conversations,التحكم فيما يُسمح لجنى بفعله في المحادثات
Chat / Q&A,المحادثة / الأسئلة والأجوبة
Basic conversational AI,ذكاء اصطناعي محادثاتي أساسي
Read Documents,قراءة المستندات
Allow AI to read Frappe documents for context,السماح للذكاء الاصطناعي بقراءة مستندات Frappe للسياق
Draft Content,صياغة المحتوى
Generate emails&#44; descriptions&#44; and summaries,توليد رسائل البريد الإلكتروني والأوصاف والملخصات
Create Documents,إنشاء المستندات
Allow AI to create new records in the system,السماح للذكاء الاصطناعي بإنشاء سجلات جديدة في النظام
Navigate to Pages,الانتقال إلى الصفحات
Allow AI to direct users to specific pages or reports,السماح للذكاء الاصطناعي بتوجيه المستخدمين إلى صفحات أو تقارير محددة
Run Report Queries,تشغيل استعلامات التقارير
Allow AI to query reports and return data,السماح للذكاء الاصطناعي بالاستعلام عن التقارير وإرجاع البيانات
Modify Documents,تعديل المستندات
Allow AI to change existing records — use with caution,السماح للذكاء الاصطناعي بتغيير السجلات الحالية — استخدم بحذر
Limits,الحدود
Rate Limits,حدود المعدل
Messages per User per Hour,الرسائل لكل مستخدم في الساعة
Set to 0 for unlimited,اضبط على 0 للسماح بعدد غير محدود
Session Retention (days),الاحتفاظ بالجلسات (أيام)
Auto-archive sessions older than this. Set to 0 to keep forever.,أرشفة الجلسات الأقدم من هذا تلقائيًا. اضبط على 0 للاحتفاظ بها إلى الأبد.
Privacy,الخصوصية
Auto-Mask PII,إخفاء البيانات الشخصية تلقائيًا
Automatically mask personal identifiable information (names&#44; emails&#44; phone numbers) before sending to cloud LLM providers. Recommended for GDPR compliance.,إخفاء معلومات التعريف الشخصية (الأسماء والبريد الإلكتروني وأرقام الهاتف) تلقائيًا قبل الإرسال إلى مزوّدي النماذج السحابية. يُوصى به للامتثال لـ GDPR.
Knowledge,المعرفة
Business Context,سياق العمل
This description is included in every AI conversation to provide business context.,يُدرج هذا الوصف في كل محادثة ذكاء اصطناعي لتوفير سياق العمل.
Business Description,وصف العمل
Describe your business&#44; products&#44; and services...,صف أعمالك ومنتجاتك وخدماتك...
Knowledge Token Budget,ميزانية رموز المعرفة
Maximum tokens allocated for knowledge articles in the system prompt,الحد الأقصى للرموز المخصصة لمقالات المعرفة في موجه النظام
Manage knowledge articles in Desk,إدارة مقالات المعرفة في Desk
My Keys,مفاتيحي
Your API Keys,مفاتيح API الخاصة بك
Bring your own API key for any provider. Your keys are encrypted and only used for your sessions.,أحضر مفتاح API الخاص بك لأي مزوّد. مفاتيحك مُشفّرة وتُستخدم فقط لجلساتك.
No API keys configured yet.,لم يتم إعداد أي مفاتيح API بعد.
Add a Key,إضافة مفتاح
Select provider,اختر المزوّد
Paste API key,الصق مفتاح API
Add Key,إضافة مفتاح
OAuth Connections,اتصالات OAuth
Connected,متصل
Not connected,غير متصل
Disconnect,قطع الاتصال
Connect,اتصال
Settings saved,تم حفظ الإعدادات
Failed to save settings,فشل حفظ الإعدادات
Connection successful,الاتصال ناجح
Provider saved,تم حفظ المزوّد
Failed to save provider,فشل حفظ المزوّد
Delete this provider? This cannot be undone.,حذف هذا المزوّد؟ لا يمكن التراجع عن هذا.
Provider deleted,تم حذف المزوّد
Failed to delete provider,فشل حذف المزوّد
Provider created,تم إنشاء المزوّد
Failed to create provider,فشل إنشاء المزوّد
