AI responses may be less accurate in languages other than English.,Las respuestas de IA pueden ser menos precisas en idiomas distintos al inglés.
Dismiss,Cerrar
Open Jana AI Assistant,Abrir asistente Jana IA
Chats,Chats
Select Agent,Seleccionar agente
Chat History,Historial de chats
New Chat,Nuevo chat
Settings,Configuración
Close,Cerrar
No conversations yet,Sin conversaciones aún
Welcome to Jana!,¡Bienvenido a Jana!
or,o
Copy,Copiar
Ask Jana...,Pregunta a Jana...
Stop generating,Detener generación
just now,ahora mismo
Untitled Chat,Chat sin título
Rename,Renombrar
Archive,Archivar
Delete,Eliminar
Chat,Chat
Save,Guardar
General,General
AI Provider,Proveedor de IA
Default Provider,Proveedor predeterminado
Default Model,Modelo predeterminado
Enable Streaming,Habilitar streaming
Providers,Proveedores
Add Provider,Agregar proveedor
Cancel,Cancelar
Provider Name,Nombre del proveedor
Authentication,Autenticación
API Key,Clave API
Enabled,Habilitado
Capabilities,Capacidades
Read Documents,Leer documentos
Create Documents,Crear documentos
Modify Documents,Modificar documentos
Limits,Límites
Privacy,Privacidad
Knowledge,Conocimiento
My Keys,Mis claves
Connected,Conectado
Not connected,No conectado
Settings saved,Configuración guardada
Connection successful,Conexión exitosa
Default,Predeterminado
Disabled,Deshabilitado
Models,Modelos
Agents,Agentes
New Agent,Nuevo agente
Agent Name,Nombre del agente
Description,Descripción
Provider,Proveedor
Model,Modelo
Temperature,Temperatura
Tools,Herramientas
Remove,Eliminar
Agent saved,Agente guardado
Content Generation,Generación de contenido
Draft Email,Redactar correo
Document Name,Nombre del documento
Generate,Generar
Result,Resultado
Copied,Copiado
Subject,Asunto
Content,Contenido
An error occurred,Ocurrió un error
Permission denied,Permiso denegado
— Select —,— Seleccionar —
